location,pid,date,時間,天氣狀況,最低溫,最高溫,體感最低溫,體感最高溫,降雨機率,蒲福風級
陽明山國家公園擎天崗,F023,01/19,晚上,陰有雨,12,13,10,11,80%,-
陽明山國家公園擎天崗,F023,01/20,白天,陰有雨,9,12,7,11,90%,-
陽明山國家公園擎天崗,F023,01/20,晚上,陰有雨,9,10,6,7,90%,-
陽明山國家公園擎天崗,F023,01/21,白天,陰有雨,8,10,5,8,-%,-
陽明山國家公園擎天崗,F023,01/21,晚上,陰有雨,8,8,5,5,-%,-
陽明山國家公園擎天崗,F023,01/22,白天,陰短暫雨,8,10,5,8,-%,-
陽明山國家公園擎天崗,F023,01/22,晚上,陰短暫雨,8,9,6,7,-%,-
陽明山國家公園擎天崗,F023,01/23,白天,多雲時陰短暫雨,8,12,7,11,-%,-
陽明山國家公園擎天崗,F023,01/23,晚上,多雲短暫雨,9,10,8,8,-%,-
陽明山國家公園擎天崗,F023,01/24,白天,多雲短暫雨,9,14,8,13,-%,-
陽明山國家公園擎天崗,F023,01/24,晚上,多雲短暫雨,10,11,8,9,-%,-
七股海堤,F024,01/17,晚上,多雲時晴,17,19,13,17,20%,-
七股海堤,F024,01/18,白天,晴時多雲,17,21,13,18,10%,-
七股海堤,F024,01/18,晚上,晴時多雲,17,19,12,15,10%,-
七股海堤,F024,01/19,白天,晴時多雲,17,21,11,16,10%,-
七股海堤,F024,01/19,晚上,晴時多雲,17,19,12,14,10%,-
七股海堤,F024,01/20,白天,晴時多雲,17,21,12,16,10%,-
七股海堤,F024,01/20,晚上,晴時多雲,14,17,11,12,10%,-
七股海堤,F024,01/21,白天,晴時多雲,14,18,9,12,-%,-
七股海堤,F024,01/21,晚上,晴時多雲,13,15,8,10,-%,-
七股海堤,F024,01/22,白天,晴時多雲,13,18,10,14,-%,-
七股海堤,F024,01/22,晚上,晴時多雲,13,16,10,11,-%,-
七股海堤,F024,01/23,白天,晴時多雲,13,18,10,15,-%,-
七股海堤,F024,01/23,晚上,晴時多雲,14,16,12,13,-%,-
七股海堤,F024,01/24,白天,晴時多雲,14,19,12,16,-%,-
七股海堤,F024,01/24,晚上,晴時多雲,15,17,13,14,-%,-
南瀛天文教育園區,F025,01/17,晚上,晴時多雲,16,21,17,21,20%,-
南瀛天文教育園區,F025,01/18,白天,晴時多雲,16,27,17,28,10%,-
南瀛天文教育園區,F025,01/18,晚上,晴時多雲,15,21,16,21,10%,-
南瀛天文教育園區,F025,01/19,白天,晴時多雲,15,26,15,27,10%,-
南瀛天文教育園區,F025,01/19,晚上,晴時多雲,16,21,17,21,10%,-
南瀛天文教育園區,F025,01/20,白天,晴時多雲,16,26,17,27,10%,-
南瀛天文教育園區,F025,01/20,晚上,晴時多雲,14,19,14,20,10%,-
南瀛天文教育園區,F025,01/21,白天,晴時多雲,14,22,14,23,-%,-
南瀛天文教育園區,F025,01/21,晚上,晴時多雲,13,17,12,17,-%,-
南瀛天文教育園區,F025,01/22,白天,晴時多雲,12,22,12,22,-%,-
南瀛天文教育園區,F025,01/22,晚上,晴時多雲,13,17,13,16,-%,-
南瀛天文教育園區,F025,01/23,白天,晴時多雲,12,22,12,23,-%,-
南瀛天文教育園區,F025,01/23,晚上,晴時多雲,13,17,13,18,-%,-
南瀛天文教育園區,F025,01/24,白天,晴時多雲,13,23,13,23,-%,-
南瀛天文教育園區,F025,01/24,晚上,晴時多雲,13,18,14,18,-%,-
臺南都會公園,F026,01/17,晚上,多雲時晴,18,22,18,22,20%,-
臺南都會公園,F026,01/18,白天,晴時多雲,18,26,18,26,10%,-
臺南都會公園,F026,01/18,晚上,晴時多雲,17,22,17,22,10%,-
臺南都會公園,F026,01/19,白天,晴時多雲,17,25,17,25,10%,-
臺南都會公園,F026,01/19,晚上,晴時多雲,17,22,17,22,10%,-
臺南都會公園,F026,01/20,白天,晴時多雲,17,25,17,26,10%,-
臺南都會公園,F026,01/20,晚上,晴時多雲,15,21,14,21,10%,-
臺南都會公園,F026,01/21,白天,晴時多雲,15,22,14,22,-%,-
臺南都會公園,F026,01/21,晚上,晴時多雲,13,18,12,17,-%,-
臺南都會公園,F026,01/22,白天,晴時多雲,13,21,12,21,-%,-
臺南都會公園,F026,01/22,晚上,晴時多雲,14,18,13,17,-%,-
臺南都會公園,F026,01/23,白天,晴時多雲,14,21,13,21,-%,-
臺南都會公園,F026,01/23,晚上,晴時多雲,14,18,15,18,-%,-
臺南都會公園,F026,01/24,白天,晴時多雲,14,22,14,22,-%,-
臺南都會公園,F026,01/24,晚上,晴時多雲,15,19,15,19,-%,-
